animeTitle	Giniro no Kami no Agito
animeType	Movie
animeNumEpisode	1
releaseDate	2006-01-07 00:00:00
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	33281
animeRank	
animePopularity	2124
animeDescription	"Three hundred years ago, a genetic experiment gone wrong caused the mutation of all forests on Earth. Armed with consciousness, the vegetation sought to destroy all of humankind, and the war that ensued turned the planet into a hellish dystopia.

In the present day, Agito, a young boy, lives with his father in Neutral City—a village maintaining an uneasy truce with the neighboring forest. One day, Agito, on his way to collect water, becomes separated from his friend and stumbles upon a relic of the past: a girl sleeping in a mysterious machine.

Agito awakens the girl, Toola Cm Sacl, and introduces her to the village. But outside forces have ulterior motives for the girl, who holds the key to restore the Earth. Misguided by Shunack, a soldier from the old world hellbent on destroying the forest, Toola follows him despite Agito's warning. Determined to save Toola and unify humankind with the forest, Agito borrows the power of the forest and pursues her.

[Written by MAL Rewrite]"
animeRelated	['Giniro no Kami no Agito Pilot']
animeCharacters	['Agito', 'Cm Sacl, Toola', 'Shunack', 'Hajan', 'Agashi', 'Minka', 'Cain', 'Yolda', 'Agohige', 'Kuchihige']
animeVoices	['Katsuji, Ryou', 'Miyazaki, Aoi', 'Endou, Kenichi', 'Fukawa, Toshikazu', 'Oosugi, Ren', 'Minami, Omi', 'Hamaguchi, Masaru', 'Kotegawa, Yuuko', 'Houki, Katsuhisa', 'Koyama, Takehiro']
animeStaff	[['Sugiyama, Keiichi', 'Director, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Shimizu, Kenichi', 'Episode Director'], ['Suzuki, Kaoru', 'Episode Director']]
