animeTitle	Maetel Legend
animeType	OVA
animeNumEpisode	2
releaseDate	2000-12-13 00:00:00
endDate	2001-03-07 00:00:00
animeNumMembers	3784
animeScore	6.4
animeUsers	1373
animeRank	6686
animePopularity	7781
animeDescription	"The artificial sun that lights the frozen planet La Metalle is dying, threatening to extinguish what little life is left there. Queen La Andromeda Prometheum decides that the only way for her people to survive is for them to submit to Hardgear's transformation process, which will turn everyone's body into machines. The Queen's daughters, Emeraldas and Maetel, refuse to submit to this process, and fight to stay human. 

(Source: ANN)"
animeRelated	['Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden', 'Ginga Tetsudou 999', 'Shin Taketori Monogatari: 1000-nen Joou', '1000-nen Joou: Queen Millennia', 'Herlock Saga: Nibelung no Yubiwa', 'Queen Emeraldas', 'Zero Seiki Movie 3: Maetel']
animeCharacters	['Maetel', 'Emeraldas', 'Promethium II, La Andromeda', 'Hardgear']
animeVoices	['Yukino, Satsuki', 'Enomoto, Atsuko', 'Han, Keiko', 'Matsuyama, Takashi']
animeStaff	[['Hayase, Hiroyuki', 'Sound Director'], ['Matsumoto, Leiji', 'Original Creator'], ['Amano, Masamichi', 'Music'], ['Matsuda, Akihiko', 'Sound Effects']]
