animeTitle	Yuru Camp△ Specials
animeType	Special
animeNumEpisode	3
releaseDate	2018-03-28 00:00:00
endDate	2018-07-25 00:00:00
animeNumMembers	
animeScore	7.54
animeUsers	19932
animeRank	
animePopularity	2677
animeDescription	"Specials included in the anime's BD/DVD releases. The first disc release features ""Heya Camp Episode 0,"" a story before Nadeshiko joins the club.

(Source: ANN)"
animeRelated	['Yuru Camp△', 'Heya Camp△']
animeCharacters	['Shima, Rin', 'Kagamihara, Nadeshiko', 'Inuyama, Aoi', 'Oogaki, Chiaki', 'Saitou, Ena', 'Kagamihara, Sakura', 'Inuyama, Akari', 'Narration']
animeVoices	['Touyama, Nao', 'Hanamori, Yumiri', 'Toyosaki, Aki', 'Hara, Sayuri', 'Takahashi, Rie', 'Inoue, Marina', 'Matsuda, Risae']
animeStaff	[['Itou, Mutsumi', 'Script'], ['Afro', 'Original Creator']]
