animeTitle	b'Kyou kara Ore wa!!'
animeType	b'OVA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	8.07
animeUsers	8323
animeRank	
animePopularity	
animeDescription	"b""Two transfer students, Mitsuhashi Takashi and Itou Shinji, tired of their boring normal life and unpopularity decide to take their arrival at a new school as an opportunity to reinvent their image, and become delinquents! Itou's justice clashing with Mitsuhashi's mischievous ways, they initially antagonize one another but soon become fast friends. The delinquent duo set out on various misadventures to become the greatest delinquents in all Japan!"""
animeRelated	[b'Kyou kara Ore wa!!']
animeCharacters	[b'Mitsuhashi, Takashi', b'Itou, Shinji', b'Imai, Katsutoshi', b'Akasaka, Riko', b'Nakano, Makoto', b'Tanigawa, Yasuo', b'Hayakawa, Kyouko', b'Mitsuhashi, Mother', b'Tsutsumi', b'Isada']
animeVoices	[b'\nMatsumoto, Yasunori\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nKusachi, Fumie\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nYao, Kazuki\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nYuuya, Atsuko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nHoshino, Mitsuaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMori, Takeshi\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nTsurumaki, Kazuya\n\nKey Animation\n\n', b'\nNishimori, Hiroyuki\n\nOriginal Creator\n\n']
