animeTitle	Gozonji! Gekkou Kamen-kun
animeType	TV
animeNumEpisode	25
releaseDate	1999-10-03 00:00:00
endDate	2000-03-26 00:00:00
animeNumMembers	486
animeScore	
animeUsers	
animeRank	15815
animePopularity	13034
animeDescription	Gekkou Kamen is retired on the moon, so his trusty motorbike returns to Earth to find a new hero to take over the job of defending the Earth from alien invaders.
animeRelated	['Seigi wo Aisuru Mono Gekkou Kamen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
