animeTitle	Dongguo Xiaojie
animeType	ONA
animeNumEpisode	15
releaseDate	2016-12-26 00:00:00
endDate	2017-04-10 00:00:00
animeNumMembers	2413
animeScore	5.97
animeUsers	436
animeRank	8780
animePopularity	8948
animeDescription	"Dongguo Xiaojie, a young girl, has lived together with her mother ever since she was little. On the year she turned sixteen, her mother suddenly contracted a ""Grave Illness"". To save her mother, Dongguo Xiaojie set foot into the unknown on a dangerous journey. Accompanying her on this journey is her sworn elder brother Mo Zixuan and the mysterious youth, Life's Hardship. However, danger arises again and again as they are continuously attacked by people they meet on their journey. Just what conspiracy is hidden behind this journey?

(Source: You Tube)"
animeRelated	[]
animeCharacters	['Dongou, Xiaojie', 'Mo, Zixuan', 'Shaodi']
animeVoices	[]
animeStaff	[]
