animeTitle	b'Crusher Joe OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	1077
animeRank	
animePopularity	
animeDescription	b'The galaxy is a strange and dangerous place, and there are times when even the United Space Force can`t help. That`s where the Crushers come in - skilled troubleshooters who will deal with any problem, large or small, for a fee (large only!) And there is no better Crusher than Crusher Joe!\n\n(Source: AniDB)'
animeRelated	[b'Crusher Joe']
animeCharacters	[b'Joe', b'Talos', b'Alfin', b'Ricky', b'Tanya']
animeVoices	[b'\nTakemura, Hiroshi\nJapanese\n', b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nSasaki, Run\nJapanese\n', b'\nOhara, Noriko\nJapanese\n', b'\nSakakibara, Yoshiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakizawa, Toshifumi\n\nDirector\n\n', b'\nOomori, Takahiro\n\nAnimation Director, Assistant Animation Director\n\n', b'\nKawamori, Shouji\n\nMechanical Design\n\n', b'\nMatsumoto, Norio\n\nKey Animation\n\n']
