animeTitle	Jungle de Ikou!
animeType	OVA
animeNumEpisode	3
releaseDate	1997-03-26 00:00:00
endDate	1997-09-26 00:00:00
animeNumMembers	
animeScore	5.38
animeUsers	2522
animeRank	
animePopularity	6481
animeDescription	"After meeting a dancing old man in what she thinks is just a crazy dream, a preteen schoolgirl embarks on a series of fanservice-filled magical girl adventures with a little creature named Ongo who might be evil and a shy girl with mysterious powers named Nami.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mii', 'Ongo', 'Rokudo, Natsumi', 'Rongo', 'Kuki, Nami', 'Kusanagi, Takuma']
animeVoices	['Sendai, Eri', 'Hayashibara, Megumi', 'Shimamoto, Sumi', 'Baba, Sumie', 'Yamaguchi, Kappei']
animeStaff	[['Moriyama, Yuuji', 'Director, Storyboard, Character Design, Original Creator, Animation Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Kuroda, Yousuke', 'Script'], ['Okui, Masami', 'Theme Song Performance']]
