animeTitle	Shoujo Sect
animeType	OVA
animeNumEpisode	3
releaseDate	2008-07-25 00:00:00
endDate	2008-11-25 00:00:00
animeNumMembers	28613
animeScore	6.68
animeUsers	12471
animeRank	
animePopularity	3364
animeDescription	"Ten years ago, Shinobu Handa and Momoko Naitou met on a playground and became friends. Before their separation, they shared a kiss and a promise that they would see each other again. Years later, Shinobu still remembers that vow, but Momoko has forgotten it. 

Now the two attend the same school. However, their personalities are complete opposites. Shinobu is a delinquent collecting a string of lovers, but Momoko is a serious student and a member of the disciplinary committee. Shinobu uses her flirtatious nature to try to make Momoko rediscover the bond and feelings they once shared. 

Various stories of love and lust envelop Momoko and Shinobu's lives. Can these two find their way back to one another?

[Written by MAL Rewrite]"
animeRelated	['Shoujo Sect']
animeCharacters	['Handa, Shinobu', 'Naitou, Momoko', 'Enjouji, Maya', 'Suwabe, Kirin', 'Komai, Shigure', 'Kyouko, Hayato', 'Ookami, Sayuri', 'Komai, Chizuru']
animeVoices	['Hitomi', 'Kawaragi, Shiho', 'Okajima, Tae', 'Miyashita, Ai', 'Rikimaru, Noriko', 'Houjou, Asuka', 'Hyo-sei', 'Yamazaki, Kaede']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Midoriki, Ryuki', 'Director'], ['Iida, Satoki', 'Sound Director'], ['van Beethoven, Ludwig', 'Music']]
