animeTitle	b'Ohayou! Spank (Movie)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Based on the shoujo manga by Yukimuro Shun'ichi and Takanashi Shizue serialised in Nakayoshi. \n\n(Source: AniDB)"""
animeRelated	[b'Ohayou! Spank']
animeCharacters	[b'Spank', b'Yoshimura, Shinako']
animeVoices	[b'\nTsukase, Noriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Shigetsugu\n\nDirector\n\n', b'\nKaneko, Yutaka\n\nScript\n\n', b'\nMakaino, Kouji\n\nMusic\n\n', b'\nTakanashi, Shizue\n\nOriginal Character Design\n\n']
