animeTitle	Palme no Ki
animeType	Movie
animeNumEpisode	1
releaseDate	2002-03-16 00:00:00
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	2360
animeRank	
animePopularity	6298
animeDescription	"Palme is a puppet created by a man to care for his sickly wife. After her death Palme becomes paralyzed with sorrow, that is, until a woman being pursed happens to cross paths with Palme and his creator and ask them to deliver something precious to a sacred place called Tama. Palme, mistaking her for his masters late wife, accepts the request. This becomes his first step to becoming more human in order to understand his own feelings. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Palme', 'Popo', 'Shatta', 'Mu', 'Pu', 'Koram', 'Roualt']
animeVoices	['Hiramatsu, Akiko', 'Toyoguchi, Megumi', 'Sakaguchi, Daisuke', 'Kozakura, Etsuko', 'Kanai, Mika', 'Motoi, Emi', 'Yamaguchi, Kappei']
animeStaff	[['Nakamura, Takashi', 'Director, Script'], ['Mima, Masafumi', 'Sound Director'], ['Arai, Akino', 'Theme Song Performance'], ['Inoue, Toshiyuki', 'Key Animation, Character Design']]
