animeTitle	b'Weekender Girl'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	1455
animeRank	
animePopularity	
animeDescription	"b'Music video for the song ""Weekender Girl"" by kz (livetune) and Hachioji P under the label Toy\'s Factory.\n\n*Part of the split single release which includes the songs ""Weekender Girl"" for the game ""Hatsune Miku - Project DIVA -f."" and ""fake doll"".\nCover artwork is illustrated by TNSK.'"
animeRelated	[b'Fake Doll']
animeCharacters	[b'Hatsune, Miku']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nwakamuraP\n\nDirector\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n', b'\nkz\n\nTheme Song Composition, Theme Song Arrangement\n\n']
