animeTitle	b'Tsugou no Yoi Sexfriend?'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	7299
animeRank	
animePopularity	
animeDescription	"b""Yuu Arahama has a girlfriend named Misako Shimizu. She has a great body and loves him greatly. One night, after having sexual intercourse, Misako proposes to Yuu. However, he rejects her proposal, revealing that Misako isn't his only partner. He has four other partners: Ryouko Yanagi, Kotori Hoshino, Makiko Endou, and Aina Kamishima.\n\nMisako makes Yuu call all four of them at once, only to find out that each girl is not aware that Yuu has sexual relationships with the others. Another problem arises when the girls decide to compete with each other so as to determine whom Yuu is going to choose as his wife. However, Yuu is reluctant to marry anyone, fearful of the possibility that he will lose his freedom when he gets married.\n\nNow, Yuu has to go through various situations which forces him to go through sexual activities with the girls to sate their lustful desires and settle their feud.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Tsugou no Yoi Sex Friend?']
animeCharacters	[b'Yanagi, Ryouko', b'Hoshino, Kotori', b'Shimizu, Misako', b'Endou, Makiko', b'Kamishima, Aina', b'Arahama, Yuu']
animeVoices	[b'\nMisonoo, Mei\nJapanese\n', b'\nTamiyasu, Tomoe\nJapanese\n', b'\nFujimori, Yukina\nJapanese\n', b'\nTakashiro, Mitsu\nJapanese\n', b'\nKitamura, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatano, Ryuuzou\n\nDirector\n\n', b'\nHakudaku, Ouji\n\nEpisode Director\n\n', b'\nKimuro, Takashi\n\nScript\n\n', b'\nWaffle\n\nOriginal Creator\n\n']
