animeTitle	Bloody Date
animeType	ONA
animeNumEpisode	1
releaseDate	2006-01-01 00:00:00
endDate	
animeNumMembers	3683
animeScore	4.19
animeUsers	2381
animeRank	11921
animePopularity	7857
animeDescription	"While enjoying their first date, a young couple experiences a nasty surprise when they're interrupted by an axe-wielding murderer! The girl manages to escape and finds refuge in a strange family's house, where she urges the people inside to call the police. However, she is knocked out and awakens inside a nightmarish room. Her real struggle for survival is only just beginning!

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
