animeTitle	Sakura Taisen: Sumire
animeType	OVA
animeNumEpisode	1
releaseDate	2002-12-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	918
animeRank	
animePopularity	8623
animeDescription	"Set after the time of Sakura Taisen 4 (game), Kanzaki Sumire, during a training session was noticed that her spirit power (rei-ryoku) has dropped tremendously, below levels required to pilot the Koubu-nishiki. She decides to retire from the Kageki-dan while she still holds the position of ""top star"" in the dai-teikoku gekijyou. 

(Source: ANN)"
animeRelated	['Sakura Taisen: Katsudou Shashin']
animeCharacters	['Shinguji, Sakura', 'Kanzaki, Sumire', 'Kirishima, Kanna', 'Kohran, Ri', 'Chateaubriand, Iris', 'Soletta, Orihime', 'Milchstraße, Leni', 'Tachibana, Maria', 'Ogami, Ichiro', 'Takamura, Tsubaki']
animeVoices	['Yokoyama, Chisa', 'Tomizawa, Michie', 'Tanaka, Mayumi', 'Fuchizaki, Yuriko', 'Nishihara, Kumiko', 'Okamoto, Maya', 'Takano, Urara', 'Suyama, Akio', 'Hikami, Kyouko']
animeStaff	[['Watson, Barry', 'Producer'], ['Matsui, Hitoyuki', 'Director'], ['Burgmeier, John', 'Script'], ['Kawasaki, Hiroyuki', 'Script']]
