animeTitle	b'Sekikashita Kusanagi'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	5319
animeRank	
animePopularity	
animeDescription	b'In Sekikashita Kusanagi, Senkuu discovers an alternative way to revive petrified people\xe2\x80\x93using Snickers! By feeding this chocolate to someone who has been petrified, that person will instantly revive just to have a taste of a Snickers bar. With this discovery, Senkuu uses Snickers to revive the famous comedian Kouki Kusanagi. \n\n[Written by MAL Rewrite]'
animeRelated	[b'Dr. Stone']
animeCharacters	[b'Senkuu']
animeVoices	[]
animeStaff	[]
