animeTitle	Wakakusa no Yon Shimai
animeType	TV
animeNumEpisode	26
releaseDate	1981-04-07 00:00:00
endDate	1981-09-29 00:00:00
animeNumMembers	
animeScore	6.36
animeUsers	343
animeRank	
animePopularity	10724
animeDescription	"In the United States, the Civil War has just broken out and Mr March, a physician and father of four daughters, went to the front. Madam March remains alone with her four daughters: the eldest Margaret (Meg), Josephine (Jo) budding writer, a real boy failed, Elisabeth (Beth), the timid passionate piano, and the latest addition, Amy, who loves to draw. The four girls will quickly get to know their neighbor Mr. Lawrence, which they had a little scared at first, but also to his grandson Laurie who at the age of Jo. Together, they go through many hardships, more or less happy, the furies of Aunt March, jealousies, the joys and the war in fabric background, hoping that their father will come back safe and sound...

(Source: Planete Jeunesse)"
animeRelated	['Ai no Wakakusa Monogatari', 'Wakakusa Monogatari']
animeCharacters	['Meg', 'Lawrence', 'Mother March', 'Father March', 'Rolly', 'Beth', 'Jo', 'Hanna', 'Amy']
animeVoices	['Koyama, Mami', 'Kitagawa, Yonehiko', 'Tsuboi, Akiko', 'Ginga, Banjou', 'Shioya, Yoku', 'Han, Keiko', 'Yamaguchi, Nana', 'Kawashima, Chiyoko']
animeStaff	[['Honda, Yasunori', 'Sound Director'], ['Takagaki, Kouzou', 'Episode Director'], ['Matsuyama, Yuushi', 'Theme Song Arrangement'], ['Koyama, Mami', 'Inserted Song Performance']]
