animeTitle	Aa! Megami-sama! (TV) Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.52
animeUsers	13440
animeRank	
animePopularity	3574
animeDescription	Due to the recent events that happened on the last episodes of the season, the Goddess have some stability problems with their body systems. The always adult looking Urd becomes a little girl and has a fateful encounter with a boy, whereas little Skuld becomes an adult and wants to experiment adulthood together with Keiichi.
animeRelated	['Aa! Megami-sama!', 'Aa! Megami-sama! (TV)']
animeCharacters	['Belldandy', 'Urd', 'Morisato, Keiichi', 'Skuld', 'Morisato, Megumi', 'Mishima, Sayoko', 'Aoyama, Otaki', 'Tamiya, Toraichi', 'Hasegawa, Sora', 'Yoshida, Shohei']
animeVoices	['Inoue, Kikuko', 'Touma, Yumi', 'Kikuchi, Masami', 'Hisakawa, Aya', 'Fuchizaki, Yuriko', 'Noto, Mamiko', 'Futamata, Issei', 'Yanada, Kiyoyuki', 'Ootani, Ikue', 'Shindo, Naomi']
animeStaff	[['Aoshima, Takashi', 'Script'], ['Hanada, Jukki', 'Screenplay'], ['Fujishima, Kousuke', 'Original Creator'], ['Kanazawa, Hidemi', 'Key Animation']]
