animeTitle	Ozanari Dungeon: Kaze no Tou
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	530
animeRank	
animePopularity	10022
animeDescription	"The king of the Tower of Wind seeks the power of the legendary Dragon's Head, and employs the fighter Moka, the thief Buruman, and the magic user Kiriman to steal it for him. But the Dragon's Head is sealed in the Temple of Fire, and to capture it Moka will have to face the sect that has protected it generation after generation!

(Source: AniDB)"
animeRelated	['Ozanari Dungeon']
animeCharacters	['Moka', 'Morrow', 'Buruman', 'Logos', 'Henchman', 'Guard', 'Folon', 'Bina', 'Gazelle', 'Kiriman']
animeVoices	['Ichiryuusai, Teiyuu', 'Ootaki, Shinya', 'Tonguu, Kyouko', 'Gouri, Daisuke', 'Ono, Kenichi', 'Takagi, Wataru', 'Mizutori, Tetsuo', 'Tokumaru, Kan', 'Koyama, Motoo']
animeStaff	[['Aoyama, Hiroshi', 'Director, Storyboard'], ['Sonoda, Hideki', 'Script'], ['Shimo, Fumihiko', 'Screenplay'], ['Aoyama, Hiroyuki', 'Key Animation']]
