animeTitle	b'Doolie Baenang-Yeohaeng'
animeType	b'OVA'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Dooly and gang travel around the world, speaking English and making new friends. This educational video was made to capture the popular English learning boom that happened around its creation time.\n\n(Source: Cake-kun and AniDB)'
animeRelated	[b'Agigongryong Doolie']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
