animeTitle	Angel's Feather
animeType	OVA
animeNumEpisode	2
releaseDate	2006-04-28 00:00:00
endDate	2006-05-26 00:00:00
animeNumMembers	
animeScore	5.46
animeUsers	9611
animeRank	
animePopularity	4044
animeDescription	"In the Binfield Kingdom Chronicle, it is said that there was once a small, peaceful country called the Kingdom of Winfield, whose king and royal family possessed great white wings.

Hamura Shou is newly enrolled at Yuusei Academy. After hearing about a student named Misonou Kai from the headmaster, Shou comes to believe that Kai is his younger twin brother, who he was separated from when he was younger. However, after a mysterious earthquake, Shou is suddenly carried into another world with two other students. It is in this new world that, after being attacked by a monster, Shou suddenly unleashes great, white wings.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Hamura, Shou', 'Misonou, Kai', 'Ousaka, Christopher', 'Chikura, Anri', 'Nakajyou, Yuuto', 'Mitsugi, Kyouhei', 'Sakakibara, Ran', 'Wakabayashi, Reiya', 'Aoki, Naoto', 'Mizuochi, Sena']
animeVoices	['Yamaguchi, Kappei', 'Midorikawa, Hikaru', 'Suzuki, Chihiro', 'Miyata, Kouki', 'Hatano, Wataru', 'Kakihara, Tetsuya', 'Kosugi, Juurouta', 'Inoue, Kazuhiko', 'Kishio, Daisuke', 'Masutani, Yasunori']
animeStaff	[['Inoue, Hiroaki', 'Producer'], ['Kuroda, Yasuhiro', 'Director'], ['Kakihara, Tetsuya', 'Theme Song Performance'], ['Ishikawa, Hideo', 'Theme Song Performance']]
