animeTitle	K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku
animeType	Movie
animeNumEpisode	1
releaseDate	2018-08-04 00:00:00
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	4997
animeRank	
animePopularity	3954
animeDescription	"Gouki Zenjo, former right-hand man to Jin Habari and a survivor of the Kagutsu Incident, returns to work for SCEPTER 4, now under the command of Reisi Munakata, the new Blue King.

(Source: TubiTV)"
animeRelated	['K Side:Blue', 'K: Seven Stories Movie 1 - R:B - Blaze', 'K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai', 'K: Seven Stories - The Idol K']
animeCharacters	['Munakata, Reishi', 'Zenjou, Gouki', 'Kusuhara, Takeru', 'Fushimi, Saruhiko', 'Awashima, Seri', 'Hisui, Nagare', 'Akiyama, Himori', 'Habari, Jin', 'Hidaka, Akira', 'Domyouji, Andy']
animeVoices	['Sugita, Tomokazu', 'Tsuda, Kenjirou', 'Tsuchiya, Shinba', 'Miyano, Mamoru', 'Sawashiro, Miyuki', 'Okitsu, Kazuyuki', 'Takahashi, Kouji', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Onitsuka, Shingo']
animeStaff	[['Tanaka, Ryou', 'Sound Director']]
