animeTitle	Gakuen Handsome
animeType	TV
animeNumEpisode	12
releaseDate	2016-10-04 00:00:00
endDate	2016-12-20 00:00:00
animeNumMembers	34973
animeScore	6.68
animeUsers	16492
animeRank	5185
animePopularity	3043
animeDescription	"High school student Yoshiki Maeda is starting a new year in the all-boys Baraman High School. On the first day, Yoshiki reconnects with his childhood friend, Takuya Saotome, and meets his odd and dramatic homeroom teacher, Teruhiko Saionji. Yoshiki’s younger sister, Yuu, is aware of many of these handsome boys and seems to take pleasure in teasing her big brother about them.

Yoshiki soon discovers a number of stereotypical romance characters and has no choice but to deal with their outright ludicrous and nonsensical boys' love antics.

[Written by MAL Rewrite]"
animeRelated	['Gakuen Handsome The Animation', 'Gakuen Handsome: Legend of Sexy', 'Gakuen Handsome: Haitoku no Lesson', 'Gakuen Handsome Special']
animeCharacters	['Mitsurugi, Sakuya', 'Maeda, Yoshiki', 'Jirou', 'Saionji, Teruhiko', 'Shiga, Shingo', 'Kagami, Renji', 'Yuu', 'Saotome, Takuya']
animeVoices	['Kimura, Ryouhei', 'Hanae, Natsuki', 'Kusunoki, Taiten', 'Suzuki, Yuto', 'Tsuruoka, Satoshi', 'Nomiya, Kazunori', 'Akesaka, Satomi', 'Kakihara, Tetsuya']
animeStaff	[]
