animeTitle	Captain (TV)
animeType	TV
animeNumEpisode	26
releaseDate	1983-01-10 00:00:00
endDate	1983-07-04 00:00:00
animeNumMembers	
animeScore	6.13
animeUsers	136
animeRank	
animePopularity	12301
animeDescription	The original is an impressive sports manga featuring not heroes, but common boys, and the story depicts the growth of Sumiya 2 junior high school baseball team (the successive captains and players) in downtown Tokyo. Takao Taniguchi, who was a substitute player of the second team of Aoba Gakuin, a prestigious junior high school in the baseball world, but he transferred to Sumiya 2 and he became the captain of the baseball club. After steady training, the team try to do a final game in the regional preliminaries, against Aoba Gakuin.
animeRelated	['Captain', 'Play Ball', 'Captain Movie']
animeCharacters	['Marui', 'Igarashi', 'Taniguchi, Takao', 'Takagi', 'Kondou', 'Koyama', 'Matsushita']
animeVoices	[]
animeStaff	[['Dezaki, Satoshi', 'Director'], ['Hashimoto, Naoto', 'Episode Director, Storyboard'], ['Tsunoda, Toshitaka', 'Episode Director, Storyboard'], ['Chiba, Akio', 'Original Creator']]
