animeTitle	Detective Conan OVA 10: Kid in Trap Island
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.77
animeUsers	7824
animeRank	
animePopularity	4387
animeDescription	"In this entirely new story produced specifically for the DVD, Conan leads a group of young detectives against the phantom thief Kaitou Kid, who has his eyes set on a jewel at a hotel on an isolated island.

(Source: ANN)"
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Kuroba, Kaito', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta', 'Mouri, Ran', 'Suzuki, Sonoko', 'Nakamori, Ginzou', 'Nezu, Shinzo', 'Yagami, Toshihiro']
animeVoices	['Takayama, Minami', 'Yamaguchi, Kappei', 'Iwai, Yukiko', 'Ootani, Ikue', 'Takagi, Wataru', 'Matsui, Naoko', 'Ishizuka, Unshou', 'Iizuka, Shouzou', 'Nojima, Hirofumi']
animeStaff	[['Urakami, Yasuo', 'Sound Director'], ['Urakami, Keiko', 'Sound Director'], ['Tsuji, Hatsuki', 'Storyboard'], ['Maeda, Yuki', 'Background Art']]
