animeTitle	Magma Taishi
animeType	OVA
animeNumEpisode	13
releaseDate	1993-02-21 00:00:00
endDate	1993-06-21 00:00:00
animeNumMembers	990
animeScore	5.86
animeUsers	197
animeRank	9167
animePopularity	11143
animeDescription	"The alien invader Goa plots to conquer the Earth. He first warns the Murakami family (father Atsushi, mother Tomoko, and son Mamoru) of their invasion, and demonstrates his powers by transporting them to a prehistoric jungle and destroying a Giant Dinosaur before their very eyes. But they will not agree to surrender to Goa, so hope comes in the form of Magma, an armored, golden giant with long hair and antennae. He and his human-sized wife Mol, both created by the wizard Earth are sent to defend our world against Goa. They befriend Atsushi and Mamoru, the latter has Magma emotionally touched, as he wanted to have a child with his wife Mol, so Earth creates a duplicate of Mamoru, named Gam Earth gives Mamoru a whistle, with which he can call Gam Mol and Magma in times of crisis. So when Goa unleashes his various daikaiju, chances are, Magma, Mol, and Gam will fly to the rescue.

(Source: ANN)"
animeRelated	['Magma Taishi']
animeCharacters	['Magma', 'Murakami, Atsushi', 'Murakami, Mamoru', 'Sapphire', 'Asuka, Miki', 'Goa', 'Murakami, Tomoko']
animeVoices	['Ootsuka, Akio', 'Kosugi, Juurouta', 'Kikuchi, Masami', 'Itou, Miki', 'Oohira, Tooru', 'Fukami, Rica']
animeStaff	[['Ueda, Hidehito', 'Director'], ['Tezuka, Osamu', 'Original Creator'], ['Maseba, Yutaka', 'Executive Producer'], ['Watanabe, Toshiyuki', 'Music']]
