animeTitle	Fushigi Yuugi
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.63
animeUsers	44430
animeRank	
animePopularity	1564
animeDescription	"While visiting the National Library, junior-high students Miaka Yuuki and Yui Hongo are transported into the world of a mysterious book set in ancient China, ""The Universe of The Four Gods."" Miaka suddenly finds herself with the responsibility of being the priestess of Suzaku, and must find all of her celestial warriors for the purpose of summoning Suzaku for three wishes; however, the enemy nation of the god Seiryuu has manipulated Yui into becoming the priestess of Seiryuu. As enemies, the former best friends begin their long struggle to summon their respective gods and obtain their wishes...

[Written by MAL Rewrite]"
animeRelated	['Fushigi Yuugi', 'Fushigi Yuugi OVA']
animeCharacters	['Tamahome', 'Nuriko', 'Tasuki', 'Yuuki, Miaka', 'Hotohori', 'Chichiri', 'Nakago', 'Hongo, Yui', 'Mitsukake', 'Chiriko']
animeVoices	['Midorikawa, Hikaru', 'Sakamoto, Chika', 'Canna, Nobutoshi', 'Araki, Kae', 'Koyasu, Takehito', 'Seki, Tomokazu', 'Furusawa, Tohru', 'Touma, Yumi', 'Ishii, Kouji', 'Kawakami, Tomoko']
animeStaff	[['Kimura, Kyotaro', 'Producer'], ['Kamegaki, Hajime', 'Director, Episode Director, Storyboard'], ['Ishihara, Tatsuya', 'Episode Director'], ['Shinohara, Toshiya', 'Episode Director']]
