animeTitle	Mobile Suit Gundam AGE: Memory of Eden
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	1589
animeRank	
animePopularity	7333
animeDescription	This project will recompile the television series (from the Asemu arc onward) to focus on the characters Asemu Asuno and Zeheart Galette.
animeRelated	['Mobile Suit Gundam AGE']
animeCharacters	['Asuno, Asemu', 'Galette, Zeheart', 'Haro', 'Asuno, Flit', 'Enneacle, Woolf', 'Asuno, Kio', 'Stone, Romary', 'Gunhale, Arisa', 'Nara, Fram', 'Asuno, Unoa']
animeVoices	['Eguchi, Takuya', 'Kamiya, Hiroshi', 'Inoue, Kazuhiko', 'Ono, Daisuke', 'Yamamoto, Kazutomi', 'Hanazawa, Kana', 'Koshimizu, Ami', 'Kotobuki, Minako', 'Oogame, Asuka']
animeStaff	[['Watada, Shinya', 'Director'], ['Fujino, Sadayoshi', 'Sound Director'], ['Hino, Akihiro', 'Script, Series Composition'], ['Kimura, Noboru', 'Script']]
