animeTitle	Dark Cat
animeType	OVA
animeNumEpisode	1
releaseDate	1991-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	3.29
animeUsers	2059
animeRank	
animePopularity	7639
animeDescription	"Hyoi and Ryoi, two brothers with the power to take the form of cats, must unravel the mystery of a creeping, tentacled, demon plague before it consumes them and their classmates. Ultimately, they must confront their old Dark Cat master Jukokubo, though whether they can put an end to the evil he has released remains a mystery.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Koizumi, Hiroki', 'Kagezaki, Hyoi', 'Jukokubo', 'Kagezaki, Rui', 'Koenji, Aimi', 'Koiwa-sensei', 'Egami, Sakiko', 'Iwata-sensei', 'Asagaya, Takako']
animeVoices	['Nakahara, Shigeru', 'Okiayu, Ryoutarou', 'Gouri, Daisuke', 'Kashiwakura, Tsutomu', 'Hisakawa, Aya', 'Kawamura, Maria', 'Hagimori, Junko', 'Nishimura, Tomomichi', 'Touma, Yumi']
animeStaff	[['Suzuki, Iku', 'Director'], ['Inoue, Toshiki', 'Script'], ['Suda, Masami', 'Character Design'], ['Sirabella, John', 'Executive Producer']]
