animeTitle	Xia Lan
animeType	TV
animeNumEpisode	156
releaseDate	2012-01-29 00:00:00
endDate	2016-07-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12805
animeDescription	When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.
animeRelated	['Hua Jianghu: Xia Lan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
