animeTitle	b'Deaimon'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Nagomu Irino returns to his Kyoto home for the first time in ten years when his father is hospitalized. Nagomu is eager to take over Ryokushou, the family's Japanese sweet shop, but he's instead asked to be a father figure to Itsuka Yukihira, the girl everyone calls the successor.\n\n(Source: Manga Translation Battle)"""
animeRelated	[b'Deaimon']
animeCharacters	[b'Yukihira, Itsuka', b'Irino, Nagomu', b'Irino, Kazuteru', b'Matsukaze, Kanoko', b'Kisaichi, Hiiro', b'Yukikhira, Tomoe', b'Irino, Shizuyo', b'Horikawa, Mitsuru', b'Irino, Fuki', b'Tatsumi, Masa']
animeVoices	[b'\nYuuki, Kozue\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nOikawa, Izo\nJapanese\n', b'\nTakahashi, Minami\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nYoshida, Miho\nJapanese\n', b'\nSuzuki, Minori\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nIwasaki, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOizaki, Fumitoshi\n\nDirector\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nYoshida, Reiko\n\nSeries Composition\n\n', b'\nAsano, Rin\n\nOriginal Creator\n\n']
