animeTitle	Seikon no Qwaser Picture Drama
animeType	Special
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	5137
animeRank	
animePopularity	4470
animeDescription	BD specials.
animeRelated	['Seikon no Qwaser']
animeCharacters	['Kurae, Ekaterina', 'Oribe, Mafuyu', 'Yamanobe, Tomo', 'Katsuragi, Hana', 'Mitarai, Fumika', 'Tsujidou, Miyuri']
animeVoices	['Hirano, Aya', 'Fujimura, Ayumi', 'Toyosaki, Aki', 'Hikasa, Youko', 'Hanazawa, Kana', 'Kawasumi, Ayako']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Yoshino, Hiroyuki', 'Original Creator'], ['Satou, Kenetsu', 'Original Character Design'], ['Yamatani, Naoto', 'Sound Effects']]
