animeTitle	gdgd Fairies 2
animeType	TV
animeNumEpisode	12
releaseDate	2013-01-10 00:00:00
endDate	2013-03-28 00:00:00
animeNumMembers	
animeScore	6.93
animeUsers	1122
animeRank	
animePopularity	9114
animeDescription	Direct continuation of the previous season. Full CG series about a 3 fairies who ramble over about random subjects in 3 locations. 
animeRelated	['gdgd Fairies 2 Episode 0', 'gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?', 'gdMen']
animeCharacters	['Korokoro', 'Shirushiru', 'Pikupiku', 'Mochida, Fusako', 'Kurukuru', 'Fafa', 'Sarasara', 'Morishita-san']
animeVoices	['Akesaka, Satomi', 'Mizuhara, Kaoru', 'Mimori, Suzuko']
animeStaff	[['Osabe, Kazuyuki', 'Script']]
