animeTitle	Inma Youjo
animeType	OVA
animeNumEpisode	5
releaseDate	1994-12-22 00:00:00
endDate	1997-11-28 00:00:00
animeNumMembers	
animeScore	5.94
animeUsers	623
animeRank	
animePopularity	9138
animeDescription	"Maya is a force of nature: wherever she goes, havoc and destruction follows. Men lose control, and become her playthings; while women become so jealous they are led to their doom. Each episode is a tale of a different Maya in a different world.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
