animeTitle	Ashita no Nadja
animeType	TV
animeNumEpisode	50
releaseDate	2003-02-02 00:00:00
endDate	2004-01-25 00:00:00
animeNumMembers	
animeScore	7.59
animeUsers	9083
animeRank	
animePopularity	3463
animeDescription	"This story takes place about one hundred years ago. Nadja is a bright, cheerful girl who was raised in an orphanage near London, England. Nadja was entrusted to the orphanage when she was a baby. So she thought her father and mother were dead. But before her thirteenth birthday, she found out that her mother might be alive..

Nadja sets out on a journey to find her mother! With all of Europe as the stage, Nadja's exciting adventure begins!

(Source: AniDB)"
animeRelated	['Ashita no Nadja']
animeCharacters	['Applefield, Nadja', 'Harcourt, Keith', 'Harcourt, Francis', 'Applefield, Rosemary', 'Arte, Sylvie', 'Rossi, Rita', 'Tsurugi, Kennosuke', 'Strand, Christian', 'Raphael', 'Geiger, Abel']
animeVoices	['Koshimizu, Ami', 'Saiga, Mitsuki', 'Shishido, Rumi', 'Orikasa, Fumiko', 'Ootani, Ikue', 'Kiuchi, Reiko', 'Oguri, Yusuke', 'Yamamoto, Kouji', 'Yamazaki, Takumi']
animeStaff	[['Igarashi, Takuya', 'Director'], ['Kasai, Osamu', 'Sound Director, Episode Director, Storyboard'], ['Hosoda, Mamoru', 'Episode Director, Storyboard, Layout, Key Animation'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard']]
