animeTitle	b'Otome Hime'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	1719
animeRank	
animePopularity	
animeDescription	"b""Satoru-kun is a boy with a strange ability to sense how people around him are feeling, but even he wasn't expecting the love confession of the cutest girl in the class. And when it comes to sex with her, his knack for feeling others' thoughts takes their relationship to the next level!\n\n(Source: H-Moe)\n\n"""
animeRelated	[b'Otome Hime']
animeCharacters	[b'Okuno, Megumi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOota, Hideta\n\nDirector\n\n', b'\nSaegusa, Chiaki\n\nSound Director\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nMiyabi\n\nOriginal Creator\n\n']
