animeTitle	Fafa Movie
animeType	ONA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.97
animeUsers	123
animeRank	
animePopularity	14983
animeDescription	"A promotional anime for Nissan Soap's Fafa laundry mascot. These two ONA films were promoting the AiR Fafa project. The project itself was a type of augmented reality app that people could play with.

North American viewers may recognize Fafa under a different name ""Snuggle"". The mascot for the fabric softener brand owned by Sun Products."
animeRelated	['Pinky Monkey x FaFa Collaboration Animation: At Afternoon of Sunny Day']
animeCharacters	['Fafa']
animeVoices	[]
animeStaff	[]
