animeTitle	Grisaia: Phantom Trigger The Animation - Stargazer
animeType	Movie
animeNumEpisode	1
releaseDate	2020-11-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	2938
animeRank	
animePopularity	4019
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Grisaia: Phantom Trigger The Animation']
animeCharacters	['Shishigaya, Touka', 'Ikoma, Murasaki', 'Fukami, Rena', 'Kujirase, Sakurako Christina', 'Aoi, Haruto', 'Kumashiro, Megumi', 'Inohara, Maki', 'Arisaka, Shiori']
animeVoices	['Sakura, Ayane', 'Tanezaki, Atsumi', 'Uchida, Maaya', 'Nazuka, Kaori', 'Yonaga, Tsubasa', 'Mimori, Suzuko', 'Nanjou, Yoshino', 'Izawa, Mikako']
animeStaff	[['Watanabe, Akio', 'Character Design']]
