animeTitle	b'Yokohama Bakkure-tai'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'It\'s all gags and fighting as gangster Tsunematsu Narita (the ""biggest idiot in Yokohama"") causes havoc in the neighborhood with his two henchmen. \n\nBased on the Shonen Champion manga by Tetsu Kusumoto.\n\n (Source: The Anime Encyclopedia) '"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
