animeTitle	b'Karakuri Kiden: Hiwou Senki'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	327
animeRank	
animePopularity	
animeDescription	b'8 years ago, Western Civilization visited 19th century Japan. Mechanized dolls and new steam-powered creations began spreading throughout the country. The Wind Gang is a group of doll and steam users who believe in using their creations to violently bring about a new Industrial Era. They attack and destroy the peaceful village of a young doll user named Hiwou one day. Hiwou and his friends escape with a giant doll named Homura. Hiwou now wants to find his father, so that he can help defeat the Wind Gang, and bring peace back to Japan.\n\n(Source: ANN)'
animeRelated	[b'Karakuri Kiden: Hiwou Senki']
animeCharacters	[b'Hiwou', b'Shishi', b'Machi', b'Jyoubu']
animeVoices	[b'\nKuwashima, Houko\nJapanese\n', b'\nAikawa, Rikako\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMinami, Masahiko\n\nProducer\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nUrakami, Yasuo\n\nSound Director\n\n', b'\nMasaki, Shinichi\n\nEpisode Director\n\n']
