animeTitle	Pochitto Hatsumei: Pikachin-Kit
animeType	ONA
animeNumEpisode	1
releaseDate	2017-12-14 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16346
animeDescription	"An ""episode 0"" streamed before the main series' release. The protagonist Eiji assembles ""cunninglasses"" so he can read his classmate's note about the boy she likes. In the end, he finds the last piece needed to make the glasses work, and reads her note that says ""Eiji is pretty weird."" 

(Source: ANN)"
animeRelated	['Pikachin-Kit']
animeCharacters	['Pochirou', 'Toomatsu, Eiji']
animeVoices	[]
animeStaff	[]
