animeTitle	b'Val x Love'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.9
animeUsers	24854
animeRank	
animePopularity	
animeDescription	"b""Valkyries\xe2\x80\x94legendary female warriors from the land of gods, Asgard\xe2\x80\x94are sent by Odin to protect Earth against the growing threat of demons. To overcome these threats, nine valkyries under the guise of the Saotome sisters will have to level up by performing a variety of romantic acts with their official lover, Einherjar.\n\nMeanwhile, the socially anxious Takuma Akutsu learns that Odin has chosen him as the valkyries' lover. Despite his utter horror, however, he agrees to let the sisters stay in his big yet empty house to help them in their war against demons. With nine beautiful women sharing his roof, will Takuma manage to prevail over his fear of society and become someone worthy of saving the world?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Val x Love']
animeCharacters	[b'Saotome, Natsuki', b'Saotome, Mutsumi', b'Saotome, Itsuyo', b'Akutsu, Takuma', b'Saotome, Shino', b'Saotome, Yakumo', b'Saotome, Ichika', b'Saotome, Misa', b'Saotome, Futaba', b'Saotome, Kururi']
animeVoices	[b'\nHondo, Kaede\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nKakuma, Ai\nJapanese\n', b'\nHirose, Yuuya\nJapanese\n', b'\nAida, Rikako\nJapanese\n', b'\nKawase, Maki\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nShimizu, Ayaka\nJapanese\n', b'\nHara, Yumi\nJapanese\n', b'\nKoiwai, Kotori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNaoya, Takashi\n\nDirector\n\n', b'\nHidaka, Rina\n\nTheme Song Performance\n\n', b'\nHondo, Kaede\n\nTheme Song Performance\n\n', b'\nHara, Yumi\n\nTheme Song Performance\n\n']
