animeTitle	b'Zettai Muteki Raijin-Oh (1992)'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	162
animeRank	
animePopularity	
animeDescription	b'Continues the story of the TV series.'
animeRelated	[b'Zettai Muteki Raijin-Oh']
animeCharacters	[b'Hoshiyama, Kouji', b'Hyuuga, Jin', b'Shiratori, Maria', b'Tsukishiro, Asuka', b'Kuriki, Youko', b'Falzeb', b'Tider', b'Takeda, Secretary', b'Gokudo', b'Belzeb']
animeVoices	[b'\nMaruta, Mari\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nYoshida, Konami\nJapanese\n', b'\nIwatsubo, Rie\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nTsujimura, Mahito\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Toshifumi\n\nDirector\n\n', b'\nSonoda, Hideki\n\nScript, Series Composition\n\n', b'\nTanaka, Kouhei\n\nMusic\n\n', b'\nYatate, Hajime\n\nOriginal Creator\n\n']
