animeTitle	Yuragi-sou no Yuuna-san
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-14 00:00:00
endDate	2018-09-29 00:00:00
animeNumMembers	233473
animeScore	7.03
animeUsers	94442
animeRank	3659
animePopularity	771
animeDescription	"Once a hot springs inn, now a boarding house with extraordinarily cheap rent, Yuragi-sou is virtually uninhabited save for a few peculiar residents. As rumor has it, it is haunted by a vile ghost which scares away all potential tenants. Therefore, it is the perfect refuge for Fuyuzora Kogarashi—a broke, homeless psychic seeking an affordable roof to stay under and ghosts to exorcise.

Kogarashi prepares for a face-off against the ghost, only to find out it is not as malicious as the rumors made it out to be. Instead, it is the ghost of a beautiful, silver-haired girl whose only recollection of her life before death is her name: Yuuna. Even more baffling is that the other tenants of Yuragi-sou not only are able to see Yuuna as well, but each has their own supernatural ability.

Amidst the chaos caused by his quirky fellow residents, Kogarashi attempts to uncover the regret that keeps Yuuna anchored to the world of the living, lest she become an evil spirit sentenced to spend her afterlife in hell.

[Written by MAL Rewrite]"
animeRelated	['Yuragi-sou no Yuuna-san', 'Yuragi-sou no Yuuna-san OVA']
animeCharacters	['Yunohana, Yuuna', 'Fuyuzora, Kogarashi', 'Miyazaki, Chisaki', 'Ameno, Sagiri', 'Fushiguro, Yaya', 'Arahabaki, Nonko', 'Shintou, Oboro', 'Chitose, Nakai', 'Shigaraki, Koyuzu', 'Narrator']
animeVoices	['Shimabukuro, Miyuri', 'Ono, Yuuki', 'Suzuki, Eri', 'Takahashi, Rie', 'Ogura, Yui', 'Kakuma, Ai', 'Komatsu, Mikako', 'Harada, Sayaka', 'Haruno, Anzu', 'Hikasa, Youko']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Nagasawa, Tsuyoshi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Oonishi, Kenta', 'Episode Director, Storyboard, Key Animation, 2nd Key Animation']]
