animeTitle	b'Shuffle! Memories'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	21001
animeRank	
animePopularity	
animeDescription	b'A recap of the Shuffle world, set ten years in the future. Gods, Demons, and Humans freely visit the other worlds as if traveling overseas, and romance is in the air. Demons, Gods, And Humans together have been falling in love and creating new families, breaking down the wall that once seperated them. Past memories are visited by Rin Tsuchimi and the events that occured between him and Lisianthus, Nerine, Kaede, Asa, and Primula. \n\n(Source: ANN)'
animeRelated	[b'Shuffle!']
animeCharacters	[b'Shigure, Asa', b'Fuyou, Kaede', b'Primula', b'Eustoma, Lisianthus', b'Nerine', b'Tsuchimi, Rin', b'Thyme, Mayumi', b'Kareha', b'Shigure, Ama', b'Benibara, Nadeshiko']
animeVoices	[b'\nItou, Miki\nJapanese\n', b'\nGotou, Yuuko\nJapanese\n', b'\nHitomi\nJapanese\n', b'\nAoki, Sayaka\nJapanese\n', b'\nNagami, Haruka\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nInoue, Miki\nJapanese\n', b'\nHinata, Yura\nJapanese\n', b'\nYuria\nJapanese\n', b'\nOda, Mari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoda, Naoto\n\nDirector\n\n', b'\nAoki, Ei\n\nEpisode Director, Storyboard\n\n', b'\nOota, Masahiko\n\nEpisode Director, Storyboard\n\n', b'\nGotou, Keiji\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n']
