animeTitle	Mokei Senshi Gunpla Builders Beginning G
animeType	Special
animeNumEpisode	3
releaseDate	2010-08-15 00:00:00
endDate	2010-12-19 00:00:00
animeNumMembers	
animeScore	6.64
animeUsers	2489
animeRank	
animePopularity	7054
animeDescription	Haru Irei, who witnessed the 1/1 scale RX-78-2 Gundam in Odaiba, becomes inspired to build Gunpla, which is a portmanteau of Gundam Plastic model kit. Haru purchases a one of a kind gunpla, the GPB-X80 Beginning Gundam. After building the kit, Haru, now a Gunpla Builder, and the Beginning Gundam enter the virtual world of Gunpla Battle, where players can pilot their customized Gunpla in team matches or one-on-one fights. Haru must rely on the support of his friends if he is to become a Gunpla Battle Champion and attain the rank of Gunpla Meister.
animeRelated	['Mobile Suit Gundam', 'Gundam Build Fighters']
animeCharacters	['Noyama, Rina', 'Sakazaki, Kenta', 'Irei, Haru', 'Schauer, Boris', 'Irei, Urara', 'Lee, Diane', 'Manager, Store', 'Irei, Hinode', 'Matsumoto, Kouji', 'Shimano, Tatsu']
animeVoices	['Ise, Mariya', 'Okamoto, Nobuhiko', 'Yonaga, Tsubasa', 'Namikawa, Daisuke', 'Kimura, Akiko', 'Endou, Aya', 'Takahashi, Hiroki', 'Narita, Ken', 'Kamiya, Hiroshi', 'Irino, Miyu']
animeStaff	[['Matsuo, Kou', 'Director, Episode Director, Storyboard'], ['Fujino, Sadayoshi', 'Sound Director'], ['Hata, Aki', 'Theme Song Lyrics'], ['KAmiYU', 'Theme Song Performance']]
