animeTitle	Abciee Shuugyou Nikki
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-07 00:00:00
endDate	2021-03-25 00:00:00
animeNumMembers	
animeScore	5.51
animeUsers	911
animeRank	
animePopularity	9183
animeDescription	"ABCiee is a bit klutzy and ditsy, but he's full of spunk and he starts his dream job at a TV station! This is a work comedy filled with all kinds of hijinks! ""I never knew it was so hard working at a TV station, ciee!"" Despite having to face the unknown rules of the TV business, unique coworkers, and guest stars who have very particular quirks, ABCiee takes them head on with his positivity. Work, love, family, whatever goes!! Please watch over ABCiee as he takes on the TV business.

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Abciee', 'Kawauso-chan']
animeVoices	['Yuuki, Aoi']
animeStaff	[['Aoike, Ryousuke', 'Director']]
