animeTitle	b'Ginga Densetsu Weed'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	6775
animeRank	
animePopularity	
animeDescription	b'A dog named Weed happens to hear that he is the son of Gin, the great leader of Ohu who lead the dogs of Ohu to victory in a fight against monsterous bear, Akakabuto. Weed wants to find his father no matter what. On a journey to find his father Weed meets many friends and enemies. \n\n(Source: ANN)'
animeRelated	[b'Ginga Densetsu Weed', b'Ginga Nagareboshi Gin']
animeCharacters	[b'Weed', b'Jerome', b'GB', b'Ken', b'Kagetora', b'Gin', b'John', b'Akame', b'Ben', b'Shirogane Kyoushirou']
animeVoices	[b'\nKokuryu, Sachi\nJapanese\n', b'\nTakatsuka, Masaya\nJapanese\n', b'\nKawamoto, Naru\nJapanese\n', b'\nOgawa, Teruaki\nJapanese\n', b'\nTakemoto, Eiji\nJapanese\n', b'\nTouchi, Hiroki\nJapanese\n', b'\nOokawa, Tooru\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n', b'\nHouki, Katsuhisa\nJapanese\n', b'\nMasuda, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyake, Masanori\n\nProducer\n\n', b'\nKato, Toshiyuki\n\nDirector, Episode Director, Storyboard\n\n', b'\nYoshida, Shunji\n\nEpisode Director\n\n', b'\nNakase, Rika\n\nScript\n\n']
