animeTitle	b'Hi no Youjin'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	3323
animeRank	
animePopularity	
animeDescription	"b""The city of Edo, the 18th century.\n\nOwaka, the daughter of a merchant family, and her childhood friend Matsukichi. The two were drawn to each other, but Matsukichi has been disowned by his family, and is working for the city fire brigade. Meanwhile, negotiations begin for the arrangement of Owaka's marriage.\n\nUnable to let go of her thoughts of Matsukichi, her mad emotions make her bring about a massive inferno which razes Edo. By chance encounter, the two meet again amidst the fires.\n\nIt is an epic spectacle set against the stage of the massive metropolis of Edo.\n\n(Source: Short Peace Site)"""
animeRelated	[b'Tsukumo', b'Buki yo Saraba', b'Gambo', b'Short Peace Opening']
animeCharacters	[b'Owaka']
animeVoices	[b'\nHayami, Saori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nArias, Michael\n\nProducer\n\n', b'\nOtomo, Katsuhiro\n\nDirector, Script\n\n', b'\nArai, Kouichi\n\nKey Animation\n\n', b'\nLedford, John\n\nExecutive Producer\n\n']
