animeTitle	Kumo to Tulip
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	1053
animeRank	
animePopularity	9534
animeDescription	A spider attempts to lure a ladybug into his web. When she manages to escape and hide in a tulip, a storm comes that batters the spider, while the ladybug remains safe.
animeRelated	[]
animeCharacters	['Spider', 'Ladybug']
animeVoices	['Murao, Gorou', 'Sugiyama, Yoshiko']
animeStaff	[['Masaoka, Kenzou', 'Director, Episode Director, Script, Director of Photography'], ['Kumaki, Kiichirou', 'Planning'], ['Kumakawa, Masao', 'In-Between Animation']]
