animeTitle	b'Koutetsu Tenshi Kurumi Zero'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	2001
animeRank	
animePopularity	
animeDescription	"b""Sometime in the distant future, Kurumi, Saki and Karinka share an apartment with another girl named Excelia. One day, after school, Kurumi tells everyone that she is in love with a man she met named Michihito Kagura, but she doesn't know when she will see him again. \n\n(Source: ANN)"""
animeRelated	[b'Koutetsu Tenshi Kurumi']
animeCharacters	[b'Kurumi', b'Karinka', b'Saki', b'Excelia']
animeVoices	[b'\nEnomoto, Atsuko\nJapanese\n', b'\nKurata, Masayo\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nMinami, Omi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Naohito\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nKimura, Shinichiro\n\nEpisode Director\n\n', b'\nTanaka, Rie\n\nTheme Song Performance\n\n']
