animeTitle	b'Buddha Saitan'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	2675
animeRank	
animePopularity	
animeDescription	b'17-year-old Sayako Amanokawa aspires to become a journalist, just like Kanemoto, an elite newspaper writer she looks up to. But Kanemoto, shamed from an erroneous report about a corruption scandal, jumps in front of a train and commits suicide. Since that incident, Sayako suddenly becomes able to see spirits and almost loses her life. However, from that near-fatal incident she experiences something extraordinary. The journalist inside her stirred, she embarks to find out about the truth. But the forces that stand in her way turn out to be much more formidable than she ever imagined. \n\n(Source: ANN) '
animeRelated	[]
animeCharacters	"[b'Sorano, Taiyou', b'Amanokawa, Sayako', b'Unabara, Yuuki', b'Rina', b'Badson, Harry', b""Sayako's Mother"", b'Kimura, Mari', b'Kaori', b'Amanokawa, Shunta', b'Arai, Tousaku']"
animeVoices	[b'\nKoyasu, Takehito\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nOhmoto, Makiko\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nItou, Miki\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nYanai, Hisayo\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiyama, Takaaki\n\nDirector\n\n', b'\nSuda, Masami\n\nAnimation Director\n\n', b'\nOokawa, Ryuuhou\n\nOriginal Creator\n\n', b'\nSatou, Masaru\n\nArt Director\n\n']
