animeTitle	Sai Er Hao
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18663
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sai Er Hao: Xunzhao Fenghuang Shenshou', 'Sai Er Hao Movie 2: Leiyi Yu Mai Er Si', 'Sai Er Hao Movie 3: Zhanshen Lianmeng', 'Sai Er Hao Movie 4: Sheng Mo Zhi Zhan', 'Sai Er Hao Movie 5: Leishen Jue Qi', 'Sai Er Hao Movie 6: Sheng Zhe Wudi', 'Sai Er Hao Movie 7: Fengkuang Jiqi Cheng', 'Sai Er Hao Season 2: Sheng Zhe Ni Xi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
