animeTitle	Obsolete
animeType	ONA
animeNumEpisode	12
releaseDate	2019-12-03 00:00:00
endDate	2020-12-01 00:00:00
animeNumMembers	4731
animeScore	5.82
animeUsers	1230
animeRank	9308
animePopularity	7172
animeDescription	"In 2014, aliens revealed themselves to request trade with humanity. In exchange for limestone, they would provide a consciousness-controlled general-use robot known as an ""Exoframe."" Cheaper than an aircraft, tank, or firearm, and easy enough for anyone to operate, the ""Exoframe"" spreads change throughout the world in the blink of an eye... 

(Source: Official site)"
animeRelated	[]
animeCharacters	['Zahir', 'Fernando', 'Loewner', 'Miyajima', 'Bowman', 'Jamal', 'Kayira']
animeVoices	['Ootomo, Ryuuzaburou', 'Takagi, Wataru', 'Yamanoi, Jin', 'Morikawa, Toshiyuki', 'Tanaka, Masahiko', 'Honjou, Yuutaro', 'Sugimoto, Yuu']
animeStaff	[['Yamada, Hiroki', 'Director'], ['Shirato, Seiichi', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Technoboys Pulcraft Green-Fund', 'Theme Song Performance']]
