animeTitle	Gdleen
animeType	OVA
animeNumEpisode	1
releaseDate	1990-03-01 00:00:00
endDate	
animeNumMembers	1048
animeScore	5.75
animeUsers	437
animeRank	9574
animePopularity	11018
animeDescription	"Due to spacecraft failure earthlings Ryu with computer robot ""MOS"" landed on self-navigated planet Gdleen. There Ryu meets a cute Euradonian fairy Fana. At that time, the planet was in the midst of a dispute over a Gavana temple. Self proclaimed God Gavana captured Fana for a sacrifice. Would they be able to escape? And what the identity of Gavana?! 

(Source: Translated from gdleen.hatsune.cc)"
animeRelated	[]
animeCharacters	['Fana', 'Ryu', 'Narrator', 'Catherine', 'Governor', 'Doran', 'Karon', 'MOS']
animeVoices	['Hara, Eriko', 'Nanba, Keiichi', 'Kawashima, Chiyoko', 'Hayashibara, Megumi', 'Nagai, Ichiro', 'Futamata, Issei', 'Shibata, Hidekatsu', 'Tomiyama, Kei']
animeStaff	[['Kato, Takao', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Tsurumaki, Kazuya', 'Key Animation']]
