animeTitle	Princess Army: Wedding★Combat
animeType	OVA
animeNumEpisode	2
releaseDate	1992-08-01 00:00:00
endDate	1992-09-21 00:00:00
animeNumMembers	
animeScore	5.21
animeUsers	356
animeRank	
animePopularity	10633
animeDescription	"The story is about Aida Nonoka who is rescued from a drunken attacker by a judoist. She then resolves to become as good as her savior, hoping that one day to recognize him by the scar on his back. She then transferred into a new high school where she meets two older boys who could possibly the person to whom she owes her life and to give her heart.

(Source: AniDB)"
animeRelated	['Princess Army']
animeCharacters	['Aida, Nonoka', 'Ichijou, Hajime', 'Oda, Shinobu', 'Hashiba, Yuuya', 'Kumada, Yoshimi', 'Aida, Seiichirou', 'Tokugawa, Tsuyoshi', 'Iwayama, Genzaburou', 'Ichijou, Yuuji', 'Aida, Kouji']
animeVoices	['Yokoyama, Chisa', 'Hayami, Show', 'Matsumoto, Yasunori', 'Seki, Toshihiko', 'Shioya, Kouzou', 'Hashi, Takaya', 'Kashiwakura, Tsutomu', 'Kikuchi, Masami', 'Arimoto, Kinryuu', 'Shimada, Bin']
animeStaff	[['Sekita, Osamu', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Kameda, Seiji', 'Theme Song Arrangement'], ['Kitagawa, Miyuki', 'Original Creator']]
