animeTitle	Flowering Heart
animeType	TV
animeNumEpisode	26
releaseDate	2016-02-25 00:00:00
endDate	2016-05-24 00:00:00
animeNumMembers	
animeScore	6.07
animeUsers	1616
animeRank	
animePopularity	7623
animeDescription	"It's the first day of the new school year. 5th grader Ari and her best friends Suha and Min have started an after school activity called the Problem Solving Club. However, no one seems to have any problems that need to be solved. Disappointed Ari ends up discovering an unconscious hamster on the road. Amazingly...the hamster begins to speak. ""I must find the magic ring...""

(Source: Official Youtube Channel of Flowering Heart)"
animeRelated	['Flowering Heart 2']
animeCharacters	['Jin, Ari']
animeVoices	[]
animeStaff	[]
