animeTitle	Fuuun Ishin Dai☆Shogun
animeType	TV
animeNumEpisode	12
releaseDate	2014-04-10 00:00:00
endDate	2014-06-26 00:00:00
animeNumMembers	24026
animeScore	5.71
animeUsers	7578
animeRank	9718
animePopularity	3673
animeDescription	"In the late Edo period, Japan had experienced an unprecedented crisis by Kurofune (Black Ships), the ships from foreign countries. But a giant robot called Onigami, which has existed since ancient time, dispelled the Kurofune ships and the exclusion of foreigners was accomplished. The story begins in Japan where Meiji restoration in 1868 didn't happen. The tagline says, ""I can be the greatest man in the world, because I am a virgin!!""

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Tokugawa, Keiichirou', 'Hattori, Kiriko', 'Chiharu', 'Houkouin', 'Yurihara, Maika', 'Otomi', 'Ii', 'Asai, Hyougo', 'Hyakusuke']
animeVoices	['Kakihara, Tetsuya', 'Kawasumi, Ayako', 'Tamura, Yukari', 'Sawashiro, Miyuki', 'Kobayashi, Yuu', 'Yokoo, Mari', 'Chafurin', 'Hikasa, Youko', 'Ogihara, Hideki']
animeStaff	[['Matsuura, Hiroaki', 'Producer'], ['Watanabe, Takashi', 'Director'], ['Hatano, Kouhei', 'Episode Director, Storyboard, Assistant Director'], ['Ishida, Tooru', 'Episode Director, Storyboard']]
