animeTitle	Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
animeType	TV
animeNumEpisode	12
releaseDate	2015-10-08 00:00:00
endDate	2015-12-24 00:00:00
animeNumMembers	189066
animeScore	7.43
animeUsers	79209
animeRank	1855
animePopularity	950
animeDescription	"When Shoutarou Tatewaki first meets Sakurako Kujou, he knows his life will never be the same. Initially believing her to be responsible for a disappearance in the neighborhood, he later learns of her true talent: analyzing bone specimens. Sakurako has quite the collection of reconstructed animal bones, but she wishes she had more of the human variety, much to the chagrin of those around her.

Soon, Shoutarou begins accompanying the eccentric osteologist on the many different unsolved cases she comes across—usually in the form of decomposing bodies. But with so many incidents happening around them, could there be a larger mystery at work in their lives?

Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru is a story of two unlikely partners, each showing in their own way that bones can tell how one died, but only people can tell how they lived.

[Written by MAL Rewrite]"
animeRelated	['Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru']
animeCharacters	['Kujou, Sakurako', 'Tatewaki, Shoutarou', 'Isozaki, Itsuki', 'Kougami, Yuriko', 'Chiyoda, Shouko', 'Imai, Haruto', 'Hanabusa', 'Sawa, Ume', 'Touma', 'Utsumi, Hiroki']
animeVoices	['Itou, Shizuka', 'Enoki, Junya', 'Ishida, Akira', 'Imamura, Ayaka', 'Inoue, Kikuko', 'Kakihara, Tetsuya', 'Koyasu, Takehito', 'Isobe, Masako', 'Toki, Shunichi', 'Takahashi, Hiroki']
animeStaff	[['Katou, Makoto', 'Director'], ['Sugawara, Teruaki', 'Sound Director'], ['Minamikawa, Tatsuma', 'Episode Director, Storyboard'], ['Kikuchi, Katsuya', 'Episode Director, Storyboard, Key Animation']]
