animeTitle	Honoo no Haramase Tenkousei
animeType	OVA
animeNumEpisode	3
releaseDate	2006-10-27 00:00:00
endDate	2007-07-27 00:00:00
animeNumMembers	
animeScore	6.68
animeUsers	2911
animeRank	
animePopularity	5428
animeDescription	"The main character, Tatsuya Tagami, has an ambition of World Conquest, and the first step of his plan is to make every female classmate pregnant. Unfortunately, his dream is rather impossible in his all-boys school. Hence, he transfers himself to the newly reorganized Hakuka Co-Ed Academy, which was previously an all-girls school. 

(Source: ANN) 
"
animeRelated	['Honoo no Haramase Doukyuusei']
animeCharacters	['Minase, Sayaka', 'Tagami, Tatsuya', 'Yumeno, Kanae', 'Misaki, Wakana', 'Kusakabe, Ruri', 'Katase, Aki', 'Shinjou, Ayami', 'Sakai, Haruka', 'Masaki, Honomi', 'Himemiya, Eiko']
animeVoices	['Hitomi', 'Mizusawa, Kei', 'Oda, Mari', 'Wada, Kayo', 'Narumi, Erika']
animeStaff	[['Raika, Ken', 'Director'], ['Squeez', 'Original Creator']]
