animeTitle	Shuudan Chikan Densha
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	668
animeRank	
animePopularity	9414
animeDescription	"Yuji is a young businessman with a penchant for groping women on the train. Unfortunately, he's really bad at it... His hobby is about to land him friendless, homeless, and probably behind bars. Enter the dashing hero, Kazuo, the man with the Golden Touch, any woman he touches turns to be horny! Touched by Yuji's plight, Kazuo takes him under his wing and teaches him to score with any woman, anywhere, anyhow. 

(Source: AniDB)"
animeRelated	['Chikan Densha']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
