animeTitle	Initial D Battle Stage 2
animeType	OVA
animeNumEpisode	1
releaseDate	2007-05-30 00:00:00
endDate	
animeNumMembers	25264
animeScore	7.64
animeUsers	11695
animeRank	1210
animePopularity	3582
animeDescription	"This is simply the OVA summing up the major events and battles of ""Initial D 4th Stage"" much like the ""Initial D Battle Stage"" original summed up the first 3 seasons. Additionally, has 2 extra battles from the manga that were not incorporated into the original 4th Stage.

(Source: ANN)"
animeRelated	['Initial D Fourth Stage', 'Initial D Battle Stage', 'Initial D Battle Stage 3']
animeCharacters	['Fujiwara, Takumi', 'Takahashi, Keisuke', 'Takeuchi, Itsuki', 'Iketani, Kouichirou', 'Iwase, Kyoko', 'Tachibana, Yuuichi', 'Hoshino, Kouzou', 'Akiyama, Wataru', 'Joushima, Toushiya', 'Fumihiro, Hiroshi']
animeVoices	['Miki, Shinichiro', 'Seki, Tomokazu', 'Iwata, Mitsuo', 'Yao, Kazuki', 'Toyoguchi, Megumi', 'Nishimura, Tomomichi', 'Ootomo, Ryuuzaburou', 'Matsumoto, Yasunori', 'Ebara, Masashi', 'Hosoi, Osamu']
animeStaff	[['Tominaga, Tsuneo', 'Director'], ['Shigeno, Shuuichi', 'Original Creator'], ['Tsuchiya, Keiichi', 'Animation Check'], ['Rodgers, Dave', 'Inserted Song Performance']]
