animeTitle	Kujira no Yu
animeType	Movie
animeNumEpisode	1
releaseDate	2019-01-01 00:00:00
endDate	
animeNumMembers	76
animeScore	
animeUsers	
animeRank	16927
animePopularity	18081
animeDescription	"Mizuki Kiyama's short animation utilizes a paint on glass technique to render a young girl's visit to a neighborhood sento (bath house) with her mother with dazzling sensuous wonder. Evoking child-like fascination at daily rituals, this quotidian act amidst feminine intimacy becomes a space of otherworldly fantasy.

(Source: Anilist)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
