animeTitle	Hero Mask
animeType	ONA
animeNumEpisode	15
releaseDate	2018-12-03 00:00:00
endDate	
animeNumMembers	25455
animeScore	6.31
animeUsers	8964
animeRank	7142
animePopularity	3578
animeDescription	Now there's a mysterious Mask before James Blood, and the man behind it is one that shouldn't exist. What is the mystery surrounding this mask...? So begins an action-packed crime story set in a beautiful city! 
animeRelated	['Hero Mask 2nd Season']
animeCharacters	['Blood, James', 'Chandler, Edmond', 'Sinclair, Sarah', 'Creighton, Harry', 'Gallagher, Lennox', 'Campbell, Monica', 'Grimm', 'Winehouse, Anna', 'Burner, Richard', 'Connor, Geffrey']
animeVoices	['Kase, Yasuyuki', 'Takano, Kentarou', 'Kaida, Yuuko', 'Uchiyama, Kouki', 'Morita, Junpei', 'Shibuya, Haruka', 'Karasuma, Yuichi', 'Miyadera, Tomoko', 'Nakano, Yutaka', 'Aoyama, Yutaka']
animeStaff	[['Aoki, Hiroyasu', 'Director, Script, Series Composition'], ['Kubo, Souichirou', 'Sound Director'], ['Shimada, Souichi', 'Episode Director, Storyboard'], ['Monte, Christian La', 'ADR Director']]
